,reef_no,replicate,perimeter_m,area_m2,diam_longest_m,diam_perpendic_m,imagery_resolution_m,date,method,platform,imagery_type,provider,instrument,observer,notes
1,19,1,101.7,808.0382813,NA,NA,NA,20190521,field,boat,NA,NA,transect tape,SF,NA
2,19,2,113.04,998.2845,36,NA,NA,20190521,field,boat,NA,NA,transect tape,SF,NA
3,19,3,84.78,561.5350313,NA,27,NA,20190521,field,boat,NA,NA,transect tape,SF,NA
4,19,1,121,1111,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,NA
5,19,2,119,1092,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,NA
6,19,3,116,1047,NA,NA,0.15,20130115,imagery,Google Earth,aerial,unknown,unknown,SF,NA
7,19,1,138,1425,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,NA
8,19,2,136,1432,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,NA
9,19,3,132,1336,NA,NA,0.5,20130822,imagery,Google Earth,satellite,DigitalGlobe,"WorldView-1/2, GeoEye-1, or Quickbird",SF,NA
10,19,1,116,1028,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,NA
11,19,2,118,1064,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,NA
12,19,3,116,1031,NA,NA,1,20110108,imagery,Google Earth,satellite,DigitalGlobe,Ikonos,SF,NA
13,19,1,126,1209,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,NA
14,19,2,118,1071,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,NA
15,19,3,124,1186,NA,NA,2,20030412,imagery,Google Earth,satellite,DigitalGlobe,EarlyBird-1 (not 100% sure),SF,NA
16,19,1,145.9,1540,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,NA
17,19,2,128.17,1120,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,NA
18,19,3,132.81,1260,NA,NA,3,20190316,imagery,PlanetExplorer,satellite,Planet,PlanetScope (formerly Dove CubeSats),SF,NA
19,19,1,115.02,1200,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,NA
20,19,2,97.6,530.6,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,NA
21,19,3,92.46,665.6,NA,NA,5,20160208,imagery,PlanetExplorer,satellite,Planet,RapidEye,SF,NA
22,19,1,356.79,9980,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,NA
23,19,2,350.55,1034,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,NA
24,19,3,366.6,1015,NA,NA,10,20180307,imagery,PlanetExplorer,satellite,ESA,Sentinel-2,SF,NA
25,19,1,417.79,16200,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,NA
26,19,2,447.6,1345,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,NA
27,19,3,440.6,1311,NA,NA,30,20190328,imagery,PlanetExplorer,satellite,USGS,Landsat 8,SF,NA
